Algorithms: Standard Zielonka / Warsaw QPT Zielonka / Liverpool QPT Zielonka
Runnning time is in seconds
For Zielonka algorithms we also output the number of iterations
steady-200-11.pg;0.000090;127;0.000107;168;0.000947;3101
steady-200-12.pg;0.000089;73;0.000091;73;0.003203;3297
steady-200-13.pg;0.000047;4;0.000047;4;0.000135;67
steady-200-14.pg;0.000051;6;0.000051;6;0.000267;117
steady-200-15.pg;0.000050;34;0.000048;34;0.000110;205
steady-200-16.pg;0.000069;13;0.000070;13;0.001172;709
steady-200-17.pg;0.000120;27;0.000120;27;0.001754;1105
steady-200-18.pg;0.000038;2;0.000038;2;0.000072;13
steady-200-19.pg;0.000044;4;0.000044;4;0.000120;40
steady-200-20.pg;0.000112;53;0.001069;3279;0.028570;90504
steady-2000-1.pg;0.000468;11;0.000470;11;0.026915;1005
steady-2000-2.pg;0.000559;13;0.000510;13;0.035794;1552
steady-2000-3.pg;0.000491;154;0.000583;232;0.003736;4154
steady-2000-4.pg;0.000687;483;0.000624;483;0.106196;8251
steady-2000-5.pg;0.000228;2;0.000225;2;0.000767;19
steady-2000-6.pg;0.000270;4;0.000274;4;0.002028;73
steady-2000-7.pg;0.000442;10;0.000566;10;0.108415;4012
steady-2000-8.pg;0.000321;5;0.000322;5;0.002198;82
steady-2000-9.pg;0.000277;4;0.000281;4;0.002099;73
steady-2000-10.pg;0.000231;2;0.000255;2;0.000776;19
steady-2000-11.pg;0.000372;7;0.000377;7;0.003797;135
steady-2000-12.pg;0.000567;13;0.000573;13;0.245292;9721
steady-2000-13.pg;0.000275;4;0.000273;4;0.002028;73
steady-2000-14.pg;0.000406;5;0.000337;5;0.009029;347
steady-2000-15.pg;0.000325;5;0.000323;5;0.002170;82
steady-2000-16.pg;0.000240;2;0.000235;2;0.000802;19
steady-2000-17.pg;0.000329;6;0.000377;6;0.006808;283
steady-2000-18.pg;0.000306;2;0.000237;2;0.000838;20
steady-2000-19.pg;0.001402;47;0.001412;47;3.256329;132115
steady-2000-20.pg;0.000570;13;0.000560;13;0.011277;409
steady-500-1.pg;0.000108;7;0.000108;7;0.000946;211
steady-500-2.pg;0.000070;2;0.000068;2;0.000146;15
steady-500-3.pg;0.000135;10;0.000136;10;0.002514;653
steady-500-4.pg;0.000109;7;0.000109;7;0.000583;101
steady-500-5.pg;0.000081;4;0.000081;4;0.000294;50
steady-500-6.pg;0.000106;7;0.000107;7;0.000890;201
steady-500-7.pg;0.000119;9;0.000121;9;0.001100;246
steady-500-8.pg;0.000083;4;0.000083;4;0.000343;60
steady-500-9.pg;0.000263;284;0.000301;574;0.001419;1347
steady-500-10.pg;0.000070;2;0.000069;2;0.000150;16
steady-500-11.pg;0.000108;7;0.000108;7;0.000891;202
steady-500-12.pg;0.000137;106;0.000146;157;0.000843;1840
steady-500-13.pg;0.000073;2;0.000074;2;0.000162;16
steady-500-14.pg;0.000147;15;0.000146;15;0.027437;7650
steady-500-15.pg;0.000113;6;0.000114;6;0.000533;100
steady-500-16.pg;0.000092;6;0.000092;6;0.000694;162
steady-500-17.pg;0.000080;4;0.000082;4;0.000355;50
steady-500-18.pg;0.000143;13;0.000142;13;0.004403;1170
steady-500-19.pg;0.000152;14;0.000152;14;0.002240;611
steady-500-20.pg;0.000096;5;0.000105;5;0.000356;57
